a,e,i,om,w,q,ad,per_y,data_arc,n_obs_used,H,moid,condition_code_0,condition_code_1,condition_code_2,condition_code_3,condition_code_5,condition_code_6,condition_code_9,neo_N,neo_Y,pha_N,pha_Y,0
3.087600299893465,0.07254867947270009,12.1492696603194,175.2323719077323,26.2098723610165,2.863598975396682,3.311601624390249,5.42550057599574,8619.0,328.0,15.3,1.868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.626364173153829,0.2249760421797766,19.30637627640315,39.52145227232256,308.3022962999359,2.035495156154919,3.217233190152739,4.25638222072233,5740.0,408.0,15.4,1.08372,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.209313624313947,0.1793143180274311,27.43396092641166,179.9010777237159,145.5836441228031,2.633837740433948,3.784789508193946,5.74945185974583,24990.0,562.0,14.1,1.65797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.370523445804357,0.1710039437588887,5.113818079457654,344.2787434010812,227.1206761233329,1.965154587798902,2.775892303809813,3.64984637388933,7118.0,274.0,16.6,0.964402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.969732387348135,0.05572477900210111,8.974387945955012,289.0270328434764,0.9935730941020966,2.804244706367778,3.135220068328493,5.11781019685753,6379.0,383.0,15.4,1.78729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.494532992265233,0.1571643465990454,9.671638344827285,98.9067529005833,261.8607860193814,2.102481344466106,2.886584640064359,3.93996243012065,1102.0,16.0,16.4,1.12414,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
2.6782525468678,0.2306703444745978,3.127831029922273,334.4776758107311,17.57437195181721,2.060459109291835,3.296045984443765,4.38314151020241,14222.0,1276.0,14.3,1.05428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.612470252874842,0.04106732194611473,0.8922991519560556,192.8032592510466,94.53876338180731,2.505183095925383,2.719757409824301,4.22265143364204,10610.0,1941.0,14.1,1.48836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.007220133059957,0.1528970670902501,6.092902382253659,237.3029351148364,187.21445265,2.547424994620338,3.467015271499576,5.21502065276218,5384.0,257.0,16.0,1.56066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.5377544642733,0.1173775636679362,11.56817191848746,57.21356094231515,233.2717846232926,2.239879028069471,2.835629900477129,4.04280321981677,8221.0,166.0,17.3,1.24395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.187114144000937,0.04210389842378716,14.23191257157501,315.0087266023013,306.3953638105023,3.052924213816906,3.321304074184968,5.68989993490962,4473.0,173.0,15.6,2.05746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.192585012023299,0.2402951864482667,15.68884245817737,195.3310771134166,236.3549694369037,2.425422201307219,3.959747822739379,5.70455678979464,4429.0,158.0,16.1,1.47682,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.633072978402538,0.04870921604927611,14.36305318531027,107.3483778364449,255.5303638028025,2.504818057824018,2.761327898981059,4.27270143533324,5293.0,227.0,16.1,1.53562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.3165903278592,0.1444229652067757,3.737368432697917,116.8073138876852,287.7379405385812,1.982021483540438,2.651159172177963,3.52599799010229,8147.0,372.0,16.6,0.994495,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
1.850752913660074,0.4553501340420409,5.839161455883218,108.7110920179829,90.27819832599955,1.008012326346261,2.693493500973886,2.51785586314721,3905.0,614.0,18.3,0.098839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
1.87071730667888,0.08565600695096737,25.43861726800011,158.8104394085893,60.58066762120607,1.710479132054699,2.030955481303061,2.5587063585354,9105.0,776.0,16.0,0.77229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.2526482733096,0.04709339511107676,4.14320300303941,211.8718245431635,180.3904929591701,2.146563418128346,2.358733128490853,3.38102422274676,9886.0,527.0,16.7,1.15097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.254011028193527,0.1531653137284645,8.294829050693007,58.36740842607334,234.7087338535869,1.908774721912847,2.599247334474208,3.38409274708695,7816.0,839.0,15.8,0.90586,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
5.179332840241741,0.03392136354795451,9.943193021993093,110.9717962724188,2.267760127402745,5.003642808032041,5.355022872451441,11.7874247657539,8386.0,746.0,11.8,4.02047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.558307454999608,0.1620365810515994,14.05687176491401,60.09850764573345,58.21431539262686,2.143768061712653,2.972846848286563,4.09201584624759,7296.0,629.0,15.8,1.19494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.992576160851518,0.2973432588115846,8.910830792622942,26.09093204046771,349.8476202314463,2.805410554130482,5.179741767572554,7.97788949178107,5981.0,254.0,14.9,1.80687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.160956311875966,0.1450907133656927,12.04368181204536,72.41111014300033,116.1717336009201,2.702330905668093,3.619581718083838,5.61999517095079,4027.0,56.0,16.6,1.72844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.192630655603126,0.2063337387021535,25.36298496792752,179.9924278055088,158.7494483459549,2.533883236137426,3.851378075068827,5.70467912513866,7234.0,261.0,15.1,1.53894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.05984303947091,0.2211308867657106,4.862656953762092,217.1842616991692,103.2991067506301,2.38321723478882,3.736468844152999,5.35250308017905,6700.0,185.0,16.4,1.3756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.752701953088306,0.03170920592239665,6.337935611837349,55.08281900619938,285.0472482821563,2.665415960014845,2.839987946161766,4.56716801740616,7910.0,671.0,15.2,1.66485,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.442099976402039,0.1726996486182727,3.501919570065555,80.96731342856296,222.0700896560649,2.020350168586715,2.863849784217364,3.81639537970235,10410.0,956.0,15.2,1.00587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.167626975012178,0.1038741736206174,10.93360195142845,140.1159727685634,134.1513430217585,2.838592340644412,3.496661609379944,5.63779462587398,7954.0,964.0,13.8,1.83471,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.053265794439267,0.1701738964960576,5.731642937594752,4.489003895018876,316.0800618947719,2.533679657161406,3.572851931717127,5.33525425470408,3229.0,77.0,16.5,1.52423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.069184231602317,0.135867443610728,9.357116795845432,139.9644702190961,257.6518989227573,2.652182016084154,3.48618644712048,5.37703223041269,8571.0,327.0,15.0,1.67824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.627692136196421,0.1404010048748124,6.4647749212041,103.6071299734739,168.8921767195475,2.258761519772801,2.996622752620041,4.25961084726296,6645.0,242.0,16.2,1.24236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
2.448209586628848,0.1688189837949075,6.71507092987421,272.5341157803581,65.91759078708334,2.034905332097215,2.86151384116048,3.83072603716707,9431.0,960.0,14.7,1.03559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
3.179540868623881,0.1632117974858122,16.0717661504687,207.0062051987533,129.1266228315369,2.660602288276177,3.698479448971584,5.66963133054739,6336.0,320.0,15.4,1.68507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
